CKY_ART;DESCR;CATEGORIA;COSTO
0000000237;!DVD+R VERBATIM 8X IN JEWEL;11;137,50005
0000000238;!DVD+R VERBATIM 8X IN JEWEL;11;397,5
0000000239;!DVD+R VERBATIM 8X IN JEWEL;11;787,5
0000000240;!MASTERIZZATORE DVD NEC 3520;28;62,9208
0000000241;!DVD+R VERBATIM 16X CAKE (10;11;139,5
0000000242;!DVD+R VERBATIM 16X CAKE (20;11;65,1
0000000243;!DVD+R VERBATIM 16X CAKE (60;11;180,3
0000000244;!DVD+R VERBATIM 16X CAKE (12;11;353,1
0000000245;!CASE HANTOL 2732D 400 WATT;6;43,5
0000000246;!DVD-R VERBATIM8X PASTEL SLI;11;75
0000000247;!BORSA PORTA CD SOLID 24 POS;14;7,5
0000000248;!BORSAPORTA CD SOLID 48 POST;14;10,65
0000000249;!BORSAPORTA CD SOLID 96 POST;14;11,85
0000000250;!BORSA PORTA CD MP3 12 POSTI;14;7,5
0000000251;!BORSA PORTA CD MP3 12 POSTI;14;15
0000000252;!BORSA PORTA CD VISUAL 10 PO;14;10,5
0000000253;!BORSA PORTA CD VISUAL 20 PO;14;10,635
0000000254;!BORSA PORTA CD NEW 28 POSTI;14;9,54
0000000255;!TV LCD 37 TOSHIBA 37AV555D;47;578,205
0000000256;!BORSA PORTA CD NEW 120 POST;14;14,7
0000000257;!CD-R SPINDLE KODAK 52X CAKE;48;19,995
0000000258;!DVD-R VERBATIM8X PASTEL SLI;11;142,5
0000000259;!DVD-R VERBATIM8X PASTEL SLI;11;412,5
0000000260;!DVD-R VERBATIM8X PASTEL SLI;11;817,5
0000000261;!DVD-R DUAL LAYER 4X VERBATI;11;115,5
0000000262;!DVD+R VERBATIM8X PASTEL SLI;11;72,49995
0000000263;!DVD+R VERBATIM8X PASTEL SLI;11;137,50005
0000000264;!DVD+R VERBATIM8X PASTEL SLI;11;397,5
0000000265;!MICROFONO DA TAVOLO STANDAR;45;9,12
0000000266;!DVD+R VERBATIM8X PASTEL SLI;11;787,5
0000000267;!CABLAGGIO + PLUG RJ45;12;9
0000000268;!DVD-R VERBATIM8X PRINTABLE;11;58,5
0000000269;!DVD-R VERBATIM8X PRINTABLE;11;109,5
0000000270;!DVD-R VERBATIM8X PRINTABLE;11;313,5
0000000271;!DVD-R VERBATIM8X PRINTABLE;11;619,5
0000000272;!CART.INK TRICR. N.78;83;40,905
0000000273;!TONER XEROX PHASER 6180 GIA;3;169,575
0000000274;!VENTOLA PER AMD XP FINO A 3;77;13,785
0000000275;!VENTOLA AGGIUNTIVA PER CASE;77;10,5
0000000276;!DVD+R VERBATIM16X PRINTABLE;11;295,5
0000000277;!NON USARE;11;47,1
0000000278;!DVD+R VERBATIM16X PRINTABLE;11;55,5
0000000279;!DVD+R VERBATIM16X PRINTABLE;11;583,5
0000000280;!CPU AMD SEMPRON 2600 TRAY;22;75
0000000281;!MAGNEX EASY TV STV580-BOX E;0;86,01
0000000282;!<CAVO PARALLELO;7;9,54
0000000283;!DVD-RW VERBATIM 6X IN JEWEL;11;118,5
0000000284;!CAVO PROLUNGA PS/2 1,8 MT;7;8,085
0000000285;!CAVO USB;7;7,95
0000000286;!ARTUCCIACOMPATIBILE EPSON 0;43;9,66
0000000287;!MULTIPRESA 8 POSTI CON INTE;52;14,07
0000000288;!DVD-RW VERBATIM 6X IN JEWEL;11;257,4
0000000289;!DVD-RW VERBATIM 6X IN JEWEL;11;736,5
0000000290;!STAMPANTE EPSON STYLUS OFFI;24;137,1
0000000291;!JOYSTICK TRUST PREDATOR SV8;57;14,1
0000000292;!MONITORPHILIPS 170S5FG 17;47;277,5
0000000293;!BORSA PER NOTEBOOK TRUST 40;4;21,885
0000000294;!BORSA PORTA CD PROF 24 POST;14;10,005
0000000295;!BORSA PORTA CD PROF 48 POST;14;11,655
0000000296;!BORSA PORTA CD PROF 96 POST;14;15,105
0000000297;!BORSA PORTA CD PROF 304 POS;14;22,455
0000000298;!DVD+RW VERBATIM IN JEWEL (1;11;112,5
0000000299;!DVD+RW VERBATIM IN JEWEL (2;11;217,5
0000000300;!MONITORPHILIPS 170C5BS 17;47;274,5
0000000301;!DVD+RW VERBATIM IN JEWEL (6;11;637,5
0000000302;!DVD+RW VERBATIM IN JEWEL (1;11;1267,5
0000000303;!MASTERIZZATORE DVD NEC 3540;28;55,125
0000000304;!DVD-R DUAL LAYER 4X VERBATI;11;61,5
0000000305;!KIT CANALINA AVVOLGICAVI 1,;7;13,5
0000000306;!SCHEDA AUDIO KEYTECK 5.1 PC;97;16,875
0000000307;!JOYPAD TRUST USB;57;13,26
0000000308;!COMPACT FLASH 1 GB;42;29,34
0000000309;!DVD-R DUAL LAYER 4X VERBATI;11;277,5
0000000310;!SCHEDA ACQUISIZIONE EMPIRE;49;68,6142
0000000311;!CARTUCCIA COMPATIBILE EPSON;43;9,285
0000000312;!SCHEDA MADRE ASUS M2N-MX;62;66,48
0000000313;!CAVO USB 5 METRI;7;8,88
